"year_end","team_id","fran_id","tot_sal","avg_sal","max_sal","min_sal","std_sal"
1999,"MIN","Timberwolves",32331480,2487036.92307692,1.4e+07,287500,3803103.98031087
1999,"NYK","Knicks",59945400,3996360,18500000,350000,5062352.44311236
1999,"OKC","Thunder",30413082,1900817.625,8715000,287500,2244063.41066904
1999,"ORL","Magic",46118000,2712823.52941176,8505000,287500,2554093.3319207
1999,"PHI","Sixers",41509920,2306106.66666667,6800000,287500,2200660.28580194
1999,"PHO","Suns",36101500,2406766.66666667,7800000,287500,2630682.65085772
1999,"SAC","Kings",31692000,2112800,1e+07,287500,3041304.6648249
1999,"UTA","Jazz",30298560,2524880,6142000,588000,1759146.33379634
1999,"WAS","Wizards",34018500,2616807.69230769,13125000,287500,3416847.53304893
2000,"ATL","Hawks",44169202,2598188.35294118,12820249,35176,3086406.62514314
2000,"BKN","Nets",53245461,3327841.3125,12375000,301875,3562703.67313621
2000,"BOS","Celtics",46152875,2429098.68421053,9e+06,26636,2296159.42614503
2000,"CLE","Cavaliers",46547966,2738115.64705882,10780000,27059,3081842.31482903
2000,"DAL","Mavericks",40014500,1818840.90909091,7560000,2706,2342927.78498316
2000,"DEN","Nuggets",43205814,2880387.6,9900000,301875,2964407.87741642
2000,"DET","Pistons",42141801,2217989.52631579,6939000,5882,2230560.17887387
2000,"GSW","Warriors",36133518,1571022.52173913,5250000,6000,1805974.90171214
2000,"HOU","Rockets",52269367,2489017.47619048,14302001,30000,3326549.00850645
2000,"LAC","Clippers",22489343,1405583.9375,3456240,114529,960962.780184225
2000,"LAL","Lakers",55018533,3056585.16666667,17142858,5000,4301143.50009273
2000,"MEM","Grizzlies",37432688,2339543,9e+06,7471,2751258.21874458
2000,"MIL","Bucks",44680197,2792512.3125,9e+06,301875,2695477.97392014
2000,"MIN","Timberwolves",42642272,2369015.11111111,16806300,4529,3981510.70352135
2000,"OKC","Thunder",38258910,2550594,11020473,301875,3424103.79458934
2000,"PHI","Sixers",43890593,2310031.21052632,9e+06,4529,2937992.65744543
2000,"SAC","Kings",40113125,2507070.3125,1.1e+07,25000,3204721.38542844
2000,"SAS","Spurs",42529801,2835320.06666667,11592683,301875,2779726.08594856
2000,"TOR","Raptors",34730320,2315354.66666667,5236000,385000,1392279.23864774
2000,"WAS","Wizards",53194441,2955246.72222222,1.5e+07,5000,4292685.4333482
2001,"ATL","Hawks",39297129,2619808.6,14400000,40000,3649142.63858406
2001,"BKN","Nets",68977578,4057504.58823529,13800000,316969,4083164.56978503
2001,"BOS","Celtics",51478707,2859928.16666667,10130000,316969,2710328.30218041
2001,"CHA","Hornets",46441558,2902597.375,8050000,316969,2753666.70140756
2001,"CHI","Bulls",29691907,1855744.1875,5520000,316969,1598799.852828
