"year_end","team_id","fran_id","elo_n"
1991,"HOU","Rockets",1534.4171
1991,"BOS","Celtics",1617.4733
1991,"CHA","Hornets",1369.3855
1991,"BKN","Nets",1325.1288
1991,"WAS","Wizards",1372.437
1991,"DEN","Nuggets",1395.866
1991,"DET","Pistons",1623.9858
1991,"SAS","Spurs",1633.1086
1991,"MIL","Bucks",1553.0973
1991,"CHI","Bulls",1645.0154
1991,"MIN","Timberwolves",1375.8877
1991,"LAC","Clippers",1401.9619
1991,"MIA","Heat",1309.3411
1991,"NYK","Knicks",1446.4063
1991,"ORL","Magic",1284.0006
1991,"PHI","Sixers",1554.4071
1991,"SAC","Kings",1330.4181
1991,"PHO","Suns",1610.2916
1991,"POR","Trailblazers",1691.8638
1991,"IND","Pacers",1437.8972
1991,"GSW","Warriors",1489.1451
1991,"UTA","Jazz",1604.1617
1991,"MIL","Bucks",1545.569
1991,"BOS","Celtics",1625.0016
1991,"CHA","Hornets",1363.9254
1991,"SAS","Spurs",1638.5687
1991,"LAC","Clippers",1420.6278
1991,"CLE","Cavaliers",1480.8733
1991,"LAL","Lakers",1611.41
1991,"DAL","Mavericks",1476.1407
1991,"ATL","Hawks",1486.3063
1991,"MIA","Heat",1294.2955
1991,"HOU","Rockets",1547.7975
1991,"PHI","Sixers",1541.0267
1991,"OKC","Thunder",1427.311
1991,"IND","Pacers",1430.8917
1991,"BKN","Nets",1322.1995
1991,"ATL","Hawks",1489.2356
1991,"OKC","Thunder",1418.2694
1991,"GSW","Warriors",1498.1868
1991,"NYK","Knicks",1458.6382
1991,"MIN","Timberwolves",1363.6558
1991,"PHO","Suns",1611.5914
1991,"ORL","Magic",1282.7008
1991,"SAC","Kings",1354.499
1991,"POR","Trailblazers",1667.7828
1991,"UTA","Jazz",1607.2928
1991,"DEN","Nuggets",1392.7349
1991,"DET","Pistons",1617.9612
1991,"BOS","Celtics",1631.0262
1991,"CHI","Bulls",1650.7588
1991,"LAC","Clippers",1414.8844
1991,"CLE","Cavaliers",1472.5859
1991,"SAS","Spurs",1646.8561
1991,"PHI","Sixers",1542.0739
1991,"MIA","Heat",1293.2484
1991,"POR","Trailblazers",1669.015
1991,"DAL","Mavericks",1474.9086
1991,"WAS","Wizards",1388.2605
1991,"HOU","Rockets",1531.974
1991,"ATL","Hawks",1494.0319
1991,"WAS","Wizards",1383.4642
1991,"HOU","Rockets",1536.2506
1991,"CHA","Hornets",1359.6488
1991,"CLE","Cavaliers",1468.405
1991,"CHI","Bulls",1654.9397
1991,"DEN","Nuggets",1387.1746
1991,"PHO","Suns",1617.1517
1991,"LAL","Lakers",1616.0094
1991,"GSW","Warriors",1493.5874
1991,"BOS","Celtics",1635.4097
1991,"MIA","Heat",1288.865
1991,"MIL","Bucks",1548.3042
1991,"LAC","Clippers",1412.1492
1991,"SAS","Spurs",1653.1915
1991,"MIN","Timberwolves",1357.3203
1991,"BKN","Nets",1307.4528
1991,"NYK","Knicks",1473.3849
1991,"ORL","Magic",1278.0605
1991,"SAC","Kings",1359.1393
1991,"OKC","Thunder",1421.6908
1991,"DAL","Mavericks",1471.4872
1991,"IND","Pacers",1450.2601
1991,"UTA","Jazz",1587.9244
1991,"LAL","Lakers",1617.651
1991,"IND","Pacers",1448.6185
1991,"ORL","Magic",1276.791
1991,"POR","Trailblazers",1670.2845
1991,"CLE","Cavaliers",1454.2284
1991,"ATL","Hawks",1508.2085
1991,"UTA","Jazz",1590.1316
1991,"BKN","Nets",1305.2456
1991,"CHA","Hornets",1355.5632
1991,"UTA","Jazz",1594.2172
1991,"CHI","Bulls",1655.847
1991,"MIA","Heat",1287.9576
1991,"DAL","Mavericks",1458.2294
1991,"PHO","Suns",1630.4095
1991,"HOU","Rockets",1532.457
1991,"SAS","Spurs",1656.9851
1991,"DET","Pistons",1611.6891
1991,"MIL","Bucks",1554.5763
1991,"LAL","Lakers",1622.3662
