"year_end","player","team_id","G","GS","MP","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","PTS","id","salary","sal_per_min","sal_per_WS","sal_per_BPM","sal_per_PTS","sal_per_PER","sal_per_VORP","sal_per_USG"
1991,"Lance Blanks","DET",38,0,214,7.5,0.476,17.5,-0.2,0.3,0.1,0.027,-3.6,0.1,-3.5,-0.1,64,"Lance Blanks-1991-DET",365000,1705.60747663551,3650000,-104285.714285714,5703.125,48666.6666666667,-3650000,20857.1428571429
1991,"Mookie Blaylock","BKN",72,70,2585,13.1,0.455,20.6,-0.7,2.9,2.1,0.04,-1.2,0.7,-0.5,1,1017,"Mookie Blaylock-1991-BKN",525000,203.094777562863,250000,-1050000,516.22418879056,40076.3358778626,525000,25485.4368932039
1991,"Muggsy Bogues","CHA",81,46,2299,15.4,0.497,12.8,3.1,1.7,4.8,0.1,0,-1,-1,0.6,568,"Muggsy Bogues-1991-CHA",805000,350.152240104393,167708.333333333,-805000,1417.25352112676,52272.7272727273,1341666.66666667,62890.625
1991,"Manute Bol","PHI",82,6,1522,8.4,0.426,7,-1.3,2.6,1.3,0.042,-6.6,5.4,-1.2,0.3,155,"Manute Bol-1991-PHI",1300000,854.139290407359,1e+06,-1083333.33333333,8387.09677419355,154761.904761905,4333333.33333333,185714.285714286
1991,"Sam Bowie","BKN",62,51,1916,14.1,0.486,20.3,0.4,2.2,2.6,0.066,-1.8,1.2,-0.6,0.7,801,"Sam Bowie-1991-BKN",2e+06,1043.84133611691,769230.769230769,-3333333.33333333,2496.87890137328,141843.971631206,2857142.85714286,98522.1674876847
1991,"Randy Breuer","MIN",73,44,1505,11.4,0.457,15.4,-0.3,1.3,1,0.031,-3.9,0.7,-3.1,-0.4,429,"Randy Breuer-1991-MIN",1150000,764.119601328904,1150000,-370967.741935484,2680.65268065268,100877.192982456,-2875000,74675.3246753247
1991,"Frank Brickowski","MIL",75,73,1912,16.4,0.578,21.9,2.2,2.6,4.7,0.119,-0.2,0.9,0.6,1.3,942,"Frank Brickowski-1991-MIL",905000,473.326359832636,192553.191489362,1508333.33333333,960.721868365181,55182.9268292683,696153.846153846,41324.200913242
1991,"Scott Brooks","MIN",80,0,980,16.9,0.528,19.9,2.1,0.5,2.6,0.127,2.6,-3.3,-0.8,0.3,424,"Scott Brooks-1991-MIN",295000,301.020408163265,113461.538461538,-368750,695.754716981132,17455.6213017752,983333.333333333,14824.1206030151
1991,"Chucky Brown","CLE",74,51,1485,12,0.555,19.4,0.7,0.9,1.6,0.052,-2,-1.5,-3.4,-0.5,627,"Chucky Brown-1991-CLE",630000,424.242424242424,393750,-185294.117647059,1004.78468899522,52500,-1260000,32474.2268041237
1991,"Dee Brown","BOS",82,5,1945,13.2,0.523,17.7,1.8,1.8,3.5,0.087,-0.6,-0.7,-1.3,0.3,712,"Dee Brown-1991-BOS",547000,281.233933161954,156285.714285714,-420769.230769231,768.258426966292,41439.3939393939,1823333.33333333,30903.9548022599
1991,"Mike Brown","UTA",82,2,1391,9.6,0.538,14.2,0.5,1.9,2.4,0.083,-3,0.9,-2.1,0,390,"Mike Brown-1991-UTA",650000,467.289719626168,270833.333333333,-309523.80952381,1666.66666666667,67708.3333333333,Inf,45774.6478873239
1991,"Tony Brown","UTA",30,0,294,5.9,0.46,16,-0.1,0.2,0.2,0.026,-2.8,-1.3,-4.2,-0.2,83,"Tony Brown-1991-UTA",50000,170.068027210884,250000,-11904.7619047619,602.409638554217,8474.57627118644,-250000,3125
1991,"Mark Bryant","POR",53,0,781,11.2,0.55,14.6,1,1.1,2.1,0.129,-1.8,-0.1,-1.9,0,272,"Mark Bryant-1991-POR",405000,518.565941101152,192857.142857143,-213157.894736842,1488.97058823529,36160.7142857143,Inf,27739.7260273973
1991,"Jud Buechler","BKN",74,10,859,10,0.455,13.1,0.4,0.8,1.2,0.065,-3.1,0.2,-2.9,-0.2,232,"Jud Buechler-1991-BKN",225000,261.932479627474,187500,-77586.2068965517,969.827586206897,22500,-1125000,17175.572519084
1991,"Matt Bullard","HOU",18,0,63,17.2,0.507,27.1,0.1,0.1,0.2,0.147,-1.1,-3,-4.1,0,39,"Matt Bullard-1991-HOU",120000,1904.7619047619,6e+05,-29268.2926829268,3076.92307692308,6976.74418604651,Inf,4428.0442804428
1991,"Willie Burton","MIA",76,26,1928,11.5,0.507,22.1,0.5,1.6,2.1,0.052,-2,-0.8,-2.8,-0.4,915,"Willie Burton-1991-MIA",2e+06,1037.34439834025,952380.952380952,-714285.714285714,2185.79234972678,173913.043478261,-5e+06,90497.7375565611
1991,"Michael Cage","OKC",82,55,2141,12,0.528,11.3,1.7,2.7,4.3,0.097,-1,2,1,1.6,522,"Michael Cage-1991-OKC",910000,425.035030359645,211627.906976744,910000,1743.29501915709,75833.3333333333,568750,80530.9734513274
1991,"Adrian Caldwell","HOU",42,0,343,8.6,0.426,14.4,-0.5,0.7,0.1,0.021,-5.8,1.9,-3.8,-0.2,77,"Adrian Caldwell-1991-HOU",275000,801.749271137026,2750000,-72368.4210526316,3571.42857142857,31976.7441860465,-1375000,19097.2222222222
1991,"Rick Calloway","SAC",64,0,678,6.6,0.452,17.9,-0.8,0.4,-0.3,-0.025,-5.6,-1.2,-6.8,-0.8,205,"Rick Calloway-1991-SAC",125000,184.365781710914,-416666.666666667,-18382.3529411765,609.756097560976,18939.3939393939,-156250,6983.24022346369
