"player","salary","year_end","team_id","fran_id"
"Andray Blatche",3e+06,2010,"WAS","Wizards"
"Andray Blatche",5900000,2011,"WAS","Wizards"
"Andray Blatche",6442083,2012,"WAS","Wizards"
"Andray Blatche",7118502,2013,"WAS","Wizards"
"Andray Blatche",1146337,2013,"BKN","Nets"
"Andray Blatche",1375604,2014,"BKN","Nets"
"Andray Blatche",8471339,2015,"WAS","Wizards"
"Andre Barrett",385277,2005,"HOU","Rockets"
"Andre Barrett",744551,2007,"CHI","Bulls"
"Andre Brown",241591,2007,"OKC","Thunder"
"Andre Brown",711517,2008,"MEM","Grizzlies"
"Andre Dawkins",59686,2015,"BOS","Celtics"
"Andre Drummond",2462400,2014,"DET","Pistons"
"Andre Drummond",2568360,2015,"DET","Pistons"
"Andre Drummond",3272091,2016,"DET","Pistons"
"Andre Drummond",22116750,2017,"DET","Pistons"
"Andre Drummond",23775506,2018,"DET","Pistons"
"Andre Emmett",385277,2005,"MEM","Grizzlies"
"Andre Emmett",641748,2006,"MIA","Heat"
"Andre Emmett",61433,2012,"BKN","Nets"
"Andre Iguodala",1914480,2005,"PHI","Sixers"
"Andre Iguodala",2058000,2006,"PHI","Sixers"
"Andre Iguodala",2201640,2007,"PHI","Sixers"
"Andre Iguodala",11300000,2009,"PHI","Sixers"
"Andre Iguodala",12200000,2010,"PHI","Sixers"
"Andre Iguodala",12345250,2011,"PHI","Sixers"
"Andre Iguodala",13531750,2012,"PHI","Sixers"
"Andre Iguodala",14968250,2013,"DEN","Nuggets"
"Andre Iguodala",12868632,2014,"GSW","Warriors"
"Andre Iguodala",12289544,2015,"GSW","Warriors"
"Andre Iguodala",11710456,2016,"GSW","Warriors"
"Andre Iguodala",11131368,2017,"GSW","Warriors"
"Andre Iguodala",14814815,2018,"GSW","Warriors"
"Andre Miller",1682280,2000,"CLE","Cavaliers"
"Andre Miller",1808400,2001,"CLE","Cavaliers"
"Andre Miller",1934520,2002,"CLE","Cavaliers"
"Andre Miller",2460709,2003,"LAC","Clippers"
"Andre Miller",8e+06,2004,"DEN","Nuggets"
"Andre Miller",8100000,2006,"DEN","Nuggets"
"Andre Miller",8733333,2007,"PHI","Sixers"
"Andre Miller",10333334,2009,"PHI","Sixers"
"Andre Miller",6730800,2010,"POR","Trailblazers"
"Andre Miller",7269264,2011,"POR","Trailblazers"
"Andre Miller",7807728,2012,"DEN","Nuggets"
"Andre Miller",5e+06,2013,"DEN","Nuggets"
"Andre Miller",5e+06,2014,"DEN","Nuggets"
"Andre Miller",4625000,2015,"SAC","Kings"
