"player","salary","year_end","team_id","fran_id","cap","per_cap","sal_2020"
"Alaa Abdelnaby",5e+05,1993,"BOS","Celtics",1.4e+07,0.0357142857142857,3897857.14285714
"Alaa Abdelnaby",805000,1994,"BOS","Celtics",15175000,0.0530477759472817,5789634.26688633
"Alaa Abdelnaby",650000,1995,"SAC","Kings",15964000,0.0407166123778502,4443811.07491857
"Alan Anderson",885120,2013,"TOR","Raptors",58044000,0.0152491213562125,1664289.10481704
"Alan Anderson",947907,2014,"BKN","Nets",58679000,0.0161541096474037,1763059.52691764
"Alan Anderson",1276061,2015,"BKN","Nets",63065000,0.0202340600967256,2208345.31895663
"Alan Anderson",4e+06,2016,"WAS","Wizards",7e+07,0.0571428571428571,6236571.42857143
"Alan Anderson",1315448,2017,"LAC","Clippers",94143000,0.0139728710578588,1524999.14725471
"Alan Henderson",791000,1996,"ATL","Hawks",2.3e+07,0.0343913043478261,3753466.95652174
"Alan Henderson",910000,1997,"ATL","Hawks",24363000,0.0373517218733325,4076566.92525551
"Alan Henderson",1028400,1998,"ATL","Hawks",26900000,0.0382304832713755,4172474.94423792
"Alan Henderson",4725000,1999,"ATL","Hawks",3e+07,0.1575,17189550
"Alan Henderson",5318437,2000,"ATL","Hawks",3.4e+07,0.156424617647059,17072182.77
"Alan Henderson",5910000,2001,"ATL","Hawks",35500000,0.166478873239437,18169504.2253521
"Alan Henderson",6500312,2002,"ATL","Hawks",42500000,0.152948517647059,16692801.216
"Alan Henderson",7091250,2003,"ATL","Hawks",40271000,0.176088252092076,19218271.8333292
"Alan Henderson",7682188,2004,"ATL","Hawks",43840000,0.175232390510949,19124863.100365
"Alan Henderson",8273125,2005,"DAL","Mavericks",43870000,0.188582744472305,20581920.7317073
"Alan Henderson",1138500,2006,"CLE","Cavaliers",49500000,0.023,2510220
"Alan Ogg",130000,1991,"MIA","Heat",11871000,0.0109510571982141,1195198.38261309
"Alan Ogg",202000,1992,"MIA","Heat",12500000,0.01616,1763702.4
"Alan Williams",114285,2016,"PHO","Suns",7e+07,0.00163264285714286,178186.641428571
"Alan Williams",874636,2017,"PHO","Suns",94143000,0.00929050487025058,1013965.70153915
"Alan Williams",6e+06,2018,"PHO","Suns",99093000,0.060549181072326,6608337.62223366
"Alando Tucker",931920,2008,"PHO","Suns",55630000,0.0167521121696926,1828325.52220025
"Alando Tucker",1001880,2009,"PHO","Suns",58680000,0.0170736196319018,1863414.84662577
"Alando Tucker",1071720,2010,"MIN","Timberwolves",57700000,0.0185740034662045,2027166.73830156
"Alec Burks",2020200,2012,"UTA","Jazz",58044000,0.0348046309696093,3798577.42402316
"Alec Burks",2171640,2013,"UTA","Jazz",58044000,0.0374136861691131,4083329.708497
"Alec Burks",2202000,2014,"UTA","Jazz",58679000,0.0375262018780143,4095609.67296648
"Alec Burks",3034356,2015,"UTA","Jazz",63065000,0.0481147387615952,5251242.5884405
"Alec Burks",9213484,2016,"UTA","Jazz",7e+07,0.1316212,14365137.768
"Alec Burks",10154495,2017,"UTA","Jazz",94143000,0.107862453926474,11772108.2215353
"Alec Burks",10845506,2018,"UTA","Jazz",99093000,0.1094477511025,11945127.5553268
"Alec Kessler",1600000,1991,"MIA","Heat",11871000,0.134782242439559,14710133.9398534
"Alec Kessler",1122000,1992,"MIA","Heat",12500000,0.08976,9796406.4
"Alec Kessler",762000,1993,"MIA","Heat",1.4e+07,0.0544285714285714,5940334.28571429
"Alec Kessler",922000,1994,"MIA","Heat",15175000,0.0607578253706755,6631109.06095552
"Alec Kessler",1402000,1995,"MIA","Heat",15964000,0.0878226008519168,9584958.6569782
